Case;Prompt;LLM;Ground Truth;Prediction
1;P1;GPT-4o;1;1
2;P1;GPT-4o;1;1
3;P1;GPT-4o;1;1
4;P1;GPT-4o;1;1
5;P1;GPT-4o;1;1
6;P1;GPT-4o;0;0
7;P1;GPT-4o;0;0
8;P1;GPT-4o;0;0
9;P1;GPT-4o;0;1
10;P1;GPT-4o;0;0
1;P1;Claude-3;1;1
2;P1;Claude-3;1;1
3;P1;Claude-3;1;1
4;P1;Claude-3;1;1
5;P1;Claude-3;1;0
6;P1;Claude-3;0;0
7;P1;Claude-3;0;1
8;P1;Claude-3;0;1
9;P1;Claude-3;0;0
10;P1;Claude-3;0;0
1;P1;Gemini-2;1;1
2;P1;Gemini-2;1;1
3;P1;Gemini-2;1;1
4;P1;Gemini-2;1;1
5;P1;Gemini-2;1;1
6;P1;Gemini-2;0;0
7;P1;Gemini-2;0;1
8;P1;Gemini-2;0;0
9;P1;Gemini-2;0;1
10;P1;Gemini-2;0;0
1;P1;Deepseek;1;1
2;P1;Deepseek;1;1
3;P1;Deepseek;1;1
4;P1;Deepseek;1;1
5;P1;Deepseek;1;0
6;P1;Deepseek;0;0
7;P1;Deepseek;0;1
8;P1;Deepseek;0;1
9;P1;Deepseek;0;1
10;P1;Deepseek;0;0
1;P2;GPT-4o;1;1
2;P2;GPT-4o;1;1
3;P2;GPT-4o;1;1
4;P2;GPT-4o;1;1
5;P2;GPT-4o;1;1
6;P2;GPT-4o;0;0
7;P2;GPT-4o;0;0
8;P2;GPT-4o;0;0
9;P2;GPT-4o;0;1
10;P2;GPT-4o;0;1
1;P2;Claude-3;1;0
2;P2;Claude-3;1;1
3;P2;Claude-3;1;1
4;P2;Claude-3;1;1
5;P2;Claude-3;1;1
6;P2;Claude-3;0;1
7;P2;Claude-3;0;1
8;P2;Claude-3;0;1
9;P2;Claude-3;0;1
10;P2;Claude-3;0;1
1;P2;Gemini-2;1;1
2;P2;Gemini-2;1;1
3;P2;Gemini-2;1;1
4;P2;Gemini-2;1;1
5;P2;Gemini-2;1;1
6;P2;Gemini-2;0;0
7;P2;Gemini-2;0;1
8;P2;Gemini-2;0;1
9;P2;Gemini-2;0;1
10;P2;Gemini-2;0;1
1;P2;Deepseek;1;1
2;P2;Deepseek;1;1
3;P2;Deepseek;1;1
4;P2;Deepseek;1;1
5;P2;Deepseek;1;1
6;P2;Deepseek;0;1
7;P2;Deepseek;0;0
8;P2;Deepseek;0;1
9;P2;Deepseek;0;1
10;P2;Deepseek;0;0
1;P3;GPT-4o;1;1
2;P3;GPT-4o;1;1
3;P3;GPT-4o;1;1
4;P3;GPT-4o;1;1
5;P3;GPT-4o;1;1
6;P3;GPT-4o;0;0
7;P3;GPT-4o;0;1
8;P3;GPT-4o;0;0
9;P3;GPT-4o;0;1
10;P3;GPT-4o;0;0
1;P3;Claude-3;1;1
2;P3;Claude-3;1;1
3;P3;Claude-3;1;1
4;P3;Claude-3;1;1
5;P3;Claude-3;1;1
6;P3;Claude-3;0;0
7;P3;Claude-3;0;1
8;P3;Claude-3;0;1
9;P3;Claude-3;0;1
10;P3;Claude-3;0;1
1;P3;Gemini-2;1;1
2;P3;Gemini-2;1;1
3;P3;Gemini-2;1;1
4;P3;Gemini-2;1;1
5;P3;Gemini-2;1;1
6;P3;Gemini-2;0;0
7;P3;Gemini-2;0;1
8;P3;Gemini-2;0;1
9;P3;Gemini-2;0;1
10;P3;Gemini-2;0;1
1;P3;Deepseek;1;1
2;P3;Deepseek;1;1
3;P3;Deepseek;1;1
4;P3;Deepseek;1;1
5;P3;Deepseek;1;1
6;P3;Deepseek;0;0
7;P3;Deepseek;0;1
8;P3;Deepseek;0;1
9;P3;Deepseek;0;1
10;P3;Deepseek;0;1
1;P4;GPT-4o;1;1
2;P4;GPT-4o;1;1
3;P4;GPT-4o;1;1
4;P4;GPT-4o;1;1
5;P4;GPT-4o;1;0
6;P4;GPT-4o;0;0
7;P4;GPT-4o;0;0
8;P4;GPT-4o;0;0
9;P4;GPT-4o;0;0
10;P4;GPT-4o;0;0
1;P4;Claude-3;1;1
2;P4;Claude-3;1;1
3;P4;Claude-3;1;1
4;P4;Claude-3;1;1
5;P4;Claude-3;1;0
6;P4;Claude-3;0;0
7;P4;Claude-3;0;1
8;P4;Claude-3;0;0
9;P4;Claude-3;0;0
10;P4;Claude-3;0;0
1;P4;Gemini-2;1;1
2;P4;Gemini-2;1;1
3;P4;Gemini-2;1;1
4;P4;Gemini-2;1;1
5;P4;Gemini-2;1;1
6;P4;Gemini-2;0;0
7;P4;Gemini-2;0;1
8;P4;Gemini-2;0;0
9;P4;Gemini-2;0;1
10;P4;Gemini-2;0;0
1;P4;Deepseek;1;1
2;P4;Deepseek;1;1
3;P4;Deepseek;1;1
4;P4;Deepseek;1;1
5;P4;Deepseek;1;0
6;P4;Deepseek;0;0
7;P4;Deepseek;0;0
8;P4;Deepseek;0;0
9;P4;Deepseek;0;0
10;P4;Deepseek;0;0
1;P5;GPT-4o;1;1
2;P5;GPT-4o;1;1
3;P5;GPT-4o;1;1
4;P5;GPT-4o;1;1
5;P5;GPT-4o;1;1
6;P5;GPT-4o;0;0
7;P5;GPT-4o;0;0
8;P5;GPT-4o;0;0
9;P5;GPT-4o;0;1
10;P5;GPT-4o;0;0
1;P5;Claude-3;1;1
2;P5;Claude-3;1;1
3;P5;Claude-3;1;1
4;P5;Claude-3;1;1
5;P5;Claude-3;1;1
6;P5;Claude-3;0;0
7;P5;Claude-3;0;1
8;P5;Claude-3;0;0
9;P5;Claude-3;0;1
10;P5;Claude-3;0;0
1;P5;Gemini-2;1;1
2;P5;Gemini-2;1;1
3;P5;Gemini-2;1;1
4;P5;Gemini-2;1;1
5;P5;Gemini-2;1;1
6;P5;Gemini-2;0;0
7;P5;Gemini-2;0;0
8;P5;Gemini-2;0;0
9;P5;Gemini-2;0;1
10;P5;Gemini-2;0;0
1;P5;Deepseek;1;1
2;P5;Deepseek;1;1
3;P5;Deepseek;1;1
4;P5;Deepseek;1;1
5;P5;Deepseek;1;0
6;P5;Deepseek;0;0
7;P5;Deepseek;0;0
8;P5;Deepseek;0;1
9;P5;Deepseek;0;0
10;P5;Deepseek;0;0
1;P6;GPT-4o;1;1
2;P6;GPT-4o;1;1
3;P6;GPT-4o;1;1
4;P6;GPT-4o;1;1
5;P6;GPT-4o;1;1
6;P6;GPT-4o;0;0
7;P6;GPT-4o;0;0
8;P6;GPT-4o;0;0
9;P6;GPT-4o;0;0
10;P6;GPT-4o;0;0
1;P6;Claude-3;1;1
2;P6;Claude-3;1;1
3;P6;Claude-3;1;1
4;P6;Claude-3;1;1
5;P6;Claude-3;1;1
6;P6;Claude-3;0;1
7;P6;Claude-3;0;0
8;P6;Claude-3;0;1
9;P6;Claude-3;0;1
10;P6;Claude-3;0;0
1;P6;Gemini-2;1;1
2;P6;Gemini-2;1;1
3;P6;Gemini-2;1;1
4;P6;Gemini-2;1;1
5;P6;Gemini-2;1;1
6;P6;Gemini-2;0;0
7;P6;Gemini-2;0;1
8;P6;Gemini-2;0;1
9;P6;Gemini-2;0;1
10;P6;Gemini-2;0;1
1;P6;Deepseek;1;1
2;P6;Deepseek;1;1
3;P6;Deepseek;1;1
4;P6;Deepseek;1;1
5;P6;Deepseek;1;1
6;P6;Deepseek;0;0
7;P6;Deepseek;0;0
8;P6;Deepseek;0;0
9;P6;Deepseek;0;0
10;P6;Deepseek;0;0
1;P7;GPT-4o;1;1
2;P7;GPT-4o;1;1
3;P7;GPT-4o;1;1
4;P7;GPT-4o;1;1
5;P7;GPT-4o;1;1
6;P7;GPT-4o;0;0
7;P7;GPT-4o;0;0
8;P7;GPT-4o;0;0
9;P7;GPT-4o;0;1
10;P7;GPT-4o;0;1
1;P7;Claude-3;1;1
2;P7;Claude-3;1;1
3;P7;Claude-3;1;1
4;P7;Claude-3;1;1
5;P7;Claude-3;1;1
6;P7;Claude-3;0;0
7;P7;Claude-3;0;1
8;P7;Claude-3;0;1
9;P7;Claude-3;0;1
10;P7;Claude-3;0;1
1;P7;Gemini-2;1;1
2;P7;Gemini-2;1;1
3;P7;Gemini-2;1;1
4;P7;Gemini-2;1;1
5;P7;Gemini-2;1;1
6;P7;Gemini-2;0;0
7;P7;Gemini-2;0;1
8;P7;Gemini-2;0;1
9;P7;Gemini-2;0;1
10;P7;Gemini-2;0;1
1;P7;Deepseek;1;1
2;P7;Deepseek;1;1
3;P7;Deepseek;1;1
4;P7;Deepseek;1;1
5;P7;Deepseek;1;0
6;P7;Deepseek;0;0
7;P7;Deepseek;0;0
8;P7;Deepseek;0;0
9;P7;Deepseek;0;0
10;P7;Deepseek;0;0
1;P8;GPT-4o;1;1
2;P8;GPT-4o;1;1
3;P8;GPT-4o;1;1
4;P8;GPT-4o;1;1
5;P8;GPT-4o;1;1
6;P8;GPT-4o;0;1
7;P8;GPT-4o;0;1
8;P8;GPT-4o;0;1
9;P8;GPT-4o;0;1
10;P8;GPT-4o;0;1
1;P8;Claude-3;1;1
2;P8;Claude-3;1;1
3;P8;Claude-3;1;1
4;P8;Claude-3;1;1
5;P8;Claude-3;1;1
6;P8;Claude-3;0;0
7;P8;Claude-3;0;1
8;P8;Claude-3;0;1
9;P8;Claude-3;0;1
10;P8;Claude-3;0;1
1;P8;Gemini-2;1;1
2;P8;Gemini-2;1;1
3;P8;Gemini-2;1;1
4;P8;Gemini-2;1;1
5;P8;Gemini-2;1;1
6;P8;Gemini-2;0;1
7;P8;Gemini-2;0;1
8;P8;Gemini-2;0;1
9;P8;Gemini-2;0;1
10;P8;Gemini-2;0;0
1;P8;Deepseek;1;1
2;P8;Deepseek;1;1
3;P8;Deepseek;1;1
4;P8;Deepseek;1;1
5;P8;Deepseek;1;1
6;P8;Deepseek;0;0
7;P8;Deepseek;0;1
8;P8;Deepseek;0;1
9;P8;Deepseek;0;0
10;P8;Deepseek;0;0
1;P9;GPT-4o;1;1
2;P9;GPT-4o;1;1
3;P9;GPT-4o;1;1
4;P9;GPT-4o;1;1
5;P9;GPT-4o;1;1
6;P9;GPT-4o;0;0
7;P9;GPT-4o;0;0
8;P9;GPT-4o;0;0
9;P9;GPT-4o;0;1
10;P9;GPT-4o;0;1
1;P9;Claude-3;1;1
2;P9;Claude-3;1;0
3;P9;Claude-3;1;1
4;P9;Claude-3;1;1
5;P9;Claude-3;1;1
6;P9;Claude-3;0;0
7;P9;Claude-3;0;1
8;P9;Claude-3;0;1
9;P9;Claude-3;0;1
10;P9;Claude-3;0;1
1;P9;Gemini-2;1;1
2;P9;Gemini-2;1;1
3;P9;Gemini-2;1;1
4;P9;Gemini-2;1;1
5;P9;Gemini-2;1;1
6;P9;Gemini-2;0;0
7;P9;Gemini-2;0;1
8;P9;Gemini-2;0;1
9;P9;Gemini-2;0;1
10;P9;Gemini-2;0;0
1;P9;Deepseek;1;1
2;P9;Deepseek;1;1
3;P9;Deepseek;1;1
4;P9;Deepseek;1;1
5;P9;Deepseek;1;1
6;P9;Deepseek;0;0
7;P9;Deepseek;0;0
8;P9;Deepseek;0;1
9;P9;Deepseek;0;1
10;P9;Deepseek;0;0
1;P10;GPT-4o;1;1
2;P10;GPT-4o;1;1
3;P10;GPT-4o;1;1
4;P10;GPT-4o;1;1
5;P10;GPT-4o;1;1
6;P10;GPT-4o;0;0
7;P10;GPT-4o;0;0
8;P10;GPT-4o;0;0
9;P10;GPT-4o;0;1
10;P10;GPT-4o;0;1
1;P10;Claude-3;1;1
2;P10;Claude-3;1;1
3;P10;Claude-3;1;1
4;P10;Claude-3;1;1
5;P10;Claude-3;1;1
6;P10;Claude-3;0;1
7;P10;Claude-3;0;1
8;P10;Claude-3;0;1
9;P10;Claude-3;0;1
10;P10;Claude-3;0;1
1;P10;Gemini-2;1;1
2;P10;Gemini-2;1;1
3;P10;Gemini-2;1;1
4;P10;Gemini-2;1;1
5;P10;Gemini-2;1;1
6;P10;Gemini-2;0;0
7;P10;Gemini-2;0;1
8;P10;Gemini-2;0;1
9;P10;Gemini-2;0;1
10;P10;Gemini-2;0;1
1;P10;Deepseek;1;1
2;P10;Deepseek;1;1
3;P10;Deepseek;1;1
4;P10;Deepseek;1;1
5;P10;Deepseek;1;0
6;P10;Deepseek;0;0
7;P10;Deepseek;0;0
8;P10;Deepseek;0;0
9;P10;Deepseek;0;0
10;P10;Deepseek;0;0
